GVID-100235,oracle-mysql-cve-2010-3678
GVID-100236,oracle-mysql-cve-2010-3679
GVID-100237,oracle-mysql-cve-2010-3680
GVID-100238,oracle-mysql-cve-2010-3681
GVID-100239,oracle-mysql-cve-2010-3682
GVID-100240,oracle-mysql-cve-2010-3683
GVID-100241,oracle-mysql-cve-2010-3833
GVID-100242,oracle-mysql-cve-2010-3834
GVID-100243,oracle-mysql-cve-2010-3835
GVID-100244,oracle-mysql-cve-2010-3836
GVID-100245,oracle-mysql-cve-2010-3837
GVID-100246,oracle-mysql-cve-2010-3838
GVID-100247,oracle-mysql-cve-2010-3839
GVID-100248,oracle-mysql-cve-2010-3840
GVID-100249,oracle-mysql-cve-2011-2262
GVID-100250,oracle-mysql-cve-2011-5049
GVID-100251,oracle-mysql-cve-2012-0075
GVID-100252,oracle-mysql-cve-2012-0087
GVID-100253,oracle-mysql-cve-2012-0101
GVID-100254,oracle-mysql-cve-2012-0102
GVID-100255,oracle-mysql-cve-2012-0112
GVID-100256,oracle-mysql-cve-2012-0113
GVID-100257,oracle-mysql-cve-2012-0114
GVID-100258,oracle-mysql-cve-2012-0115
GVID-100259,oracle-mysql-cve-2012-0116
GVID-100260,oracle-mysql-cve-2012-0117
GVID-100261,oracle-mysql-cve-2012-0118
GVID-100262,oracle-mysql-cve-2012-0119
GVID-100263,oracle-mysql-cve-2012-0120
GVID-100264,oracle-mysql-cve-2012-0484
GVID-100265,oracle-mysql-cve-2012-0485
GVID-100266,oracle-mysql-cve-2012-0486
GVID-100267,oracle-mysql-cve-2012-0487
GVID-100268,oracle-mysql-cve-2012-0488
GVID-100269,oracle-mysql-cve-2012-0489
GVID-100270,oracle-mysql-cve-2012-0490
GVID-100271,oracle-mysql-cve-2012-0491
GVID-100272,oracle-mysql-cve-2012-0492
GVID-100273,oracle-mysql-cve-2012-0493
GVID-100274,oracle-mysql-cve-2012-0494
GVID-100275,oracle-mysql-cve-2012-0495
GVID-100276,oracle-mysql-cve-2012-0496
